Latitude,Longitude,What3Words,Map,Description
53.92417398,-0.78681396,instance.genius.future,P-01,Hamlet on Hodsow Lane
53.91730604,-0.78394399,fairway.drill.prospered,P-01,Group of at least 9 houses on Canal Lane/North side of A1079
53.91891414,-0.78254389,cigar.struggle.resettle,P-01,Group of at least 6 houses on Canal Lane to north end of road
53.99144488,-0.92651315,motels.digested.romance,SB-01,House on A166
53.99259755,-0.92419033,standards.rigid.soulful,SB-01,Hamlet set back from A166
53.99680585,-0.92752684,showrooms.purse.aboard,SB-01,Farm on road to Buttercrambe from A166
53.99506997,-0.91687863,tripled.instilled.revival,SB-01,Hamlet/Business on Buttercrambe Road just outside Stamford Bridge
53.95614239,-1.01636772,unfair.sheet.ranges,VR-01,At least 8 Houses just west of Grimston Bar roundabout on A1079
53.96165948,-1.0218282,pill.brain.bugs,VR-01,At least 7 Houses along Murton Way west of A64 bridge
53.96847448,-1.03596615,sudden.reveal.cove,VR-01,At least 7 Houses close together past the east end of Bad Bargain Lane
53.97673321,-1.05487295,class.moth.news,VR-01,A few houses on Heworth side of Malton Road near New Lane lights
53.97992889,-1.04792345,zeal.engage.axed,VR-01,About 6 houses at A1036 Monks Cross Roundabout
53.95976429,-1.00559000,stared.glow.colleague,VR-01,About 4 houses along Murton Lane in Murton Park Industrial Estate
53.96210607,-1.00221047,clock.steer.green,VR-01,1 House along A166
53.96386391,-0.99786798,zaps.signal.setting,VR-01,1 House/Business along A166
53.97465241,-1.01493485,kept.curving.bars,VR-01,About 12 houses/farms from here to end of the road (east of A64)
53.97610214,-1.02135612,trail.dance.hungry,VR-01,Hamlet of properties just west of A64
53.97643341,-1.04468329,brands.marble.baking,VR-01,Farm at end of Pasture Lane
53.97576929,-1.03788925,fresh.dose.coast,VR-01,Farm along Stockton Lane
53.97656433,-1.03991163,buyers.horses.glove,VR-01,Farm along Stockton Lane
53.97807235,-1.03975606,spices.solo.wages,VR-01,Farm along Stockton Lane
53.97913234,-1.03817893,last.hero.upset,VR-01,Hamlet up a driveway on Stockton Lane
53.98021438,-1.0373528,nerve.term.asleep,VR-01,Hamlet up a driveway on Stockton Lane
53.97844145,-1.03589368,apron.hops.region,VR-01,8 Houses in a row on Stockton Lane
53.97902192,-1.03371574,plots.fails.loves,VR-01,1 House/Farm on Stockton Lane
53.97927591,-1.03171492,aspect.pill.dozen,VR-01,1 House/Farm on Stockton Lane
53.98012971,-1.03202855,wallet.starts.torch,VR-01,Hamlet w/ Caravan Park (North side of the road) on Stockton Lane
53.98044152,-1.02976216,treat.view.mental,VR-01,1 House/Farm on Stockton Lane
53.9824336,-1.02679026,kind.full.become,VR-01,1 House on Stockton Lane
53.98360865,-1.02493815,pinks.plants.divide,VR-01,6 Houses close together on Stockton Lane
53.98371903,-1.02302443,flank.void.mess,VR-01,2 Houses up a driveway on Stockton Lane
53.98062291,-1.02559939,paints.spoke.bolts,VR-01,1 House near Stockton Lane
53.97914339,-1.02300299,bolt.kinds.crowds,VR-01,1 Farm near Stockton Lane
53.92746414,-1.07483945,cubes.proper.dart,VR-02,7 Houses down a lane on B1222 inside ring road
53.92625121,-1.07748411,slate.member.bids,VR-02,At least 3 Houses in Fulford Court next to A64
53.92317591,-1.08050865,trash.ruler.zips,VR-02,About 15 houses in a row along B1222 next to Designer Outlet
53.92005428,-1.06933288,banana.keys.pulse,VR-02,About 8 houses close together down Lingcroft Lane
53.92200093,-1.06499842,punchy.soaks.worm,VR-02,1 House on corner of Lingcroft Lane and A19
53.91919088,-1.07675186,wounds.guitar.valid,VR-02,1 Farm down Lingcroft Lane
53.91474718,-1.07853015,regularly.price.wheat,VR-02,1 Farm near sewage works off B1222
53.90982901,-1.06702884,cushy.potential.caps,VR-02,1 Farm off Howden Lane
53.91070746,-1.07574066,ferried.hardens.looked,VR-02,1 House off Howden Lane down track
53.90809099,-1.08149936,customers.stretch.biked,VR-02,1 House along Howden Lane
53.89910593,-1.06755187,cakes.february.ballooned,VR-02,1 Farm near Moor Lane
53.89625012,-1.06301359,posting.blizzard.heartburn,VR-02,Hamlet/Farm with at least 4 Houses off Moor Lane
53.89371226,-1.09720866,faded.negotiators.saunas,VR-02,At least 2 Houses by the river
53.89219803,-1.09309952,denoting.twigs.hobble,VR-02,Hamlet including at least 3 houses and a farm
53.88633023,-1.09250937,bugs.stick.octagon,VR-02,About 5 houses (1 by the road and 4 up a driveway)
53.88714598,-1.08104029,backyards.capers.kinks,VR-02,1 Farm near Wood Dike
53.88308145,-1.07392983,playing.curly.deadline,VR-02,2 Farms close to each other near territory border
53.92574264,-1.06153569,focal.stone.cities,VR-03,House on Forest Lane
53.92206076,-1.05245552,clap.axed.pipes,VR-03,House on Forest Lane
53.92740727,-1.0568901,tight.trend.wisely,VR-03,Farm off Cross Lane
